,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water,N2,Ar,CH4,H2O,O2,CO2,water
extract_main_steam_tb3,0.19172962380552666,kg / s,1.7449000789782356,bar,276.5396505488511,kJ / kg,66.02683320944419,C,-49.92305070086428,K,49.92305070086428,K,0.0001956380566808687,m^3 / s,0.0010203851277531656,m^3 / kg,0.0,-,906.2641299202501,J / kgK,l,,,,,,,,1.0
extract_main_steam_tb4,0.3198242645838865,kg / s,2.0,bar,212.97192057765332,kJ / kg,50.82950004493006,C,-69.38059128304178,K,69.38059128304178,K,0.00032380687102078956,m^3 / s,0.0010124524836853286,m^3 / kg,0.0,-,714.4408255530946,J / kgK,l,,,,,,,,1.0
extract_valve,0.7684436639614629,kg / s,4.0,bar,2974.4090332684546,kJ / kg,254.83625742094716,C,111.22789816583958,K,-111.22789816583958,K,0.4618412913355993,m^3 / s,0.6010086529371923,m^3 / kg,1.0,-,7399.275724200936,J / kgK,g,,,,,,,,1.0
feed_water_post,0.282,kg / s,2.0,bar,125.91249988837369,kJ / kg,30.000000000016485,C,-90.21009132795535,K,90.21009132795535,K,0.0002832197045899559,m^3 / s,0.001004325193581404,m^3 / kg,0.0,-,436.6952129996337,J / kgK,l,,,,,,,,1.0
feed_water_pre,10.804964417163768,kg / s,2.0,bar,207.15049024247634,kJ / kg,49.43719772279775,C,-70.77289360517409,K,70.77289360517409,K,0.010932529274375602,m^3 / s,0.0010118061339479468,m^3 / kg,0.0,-,696.4335908650022,J / kgK,l,,,,,,,,1.0
fuel1_air_compressor_combustion,79.86,kg / s,14.0,bar,678.0186193391969,kJ / kg,393.29838667873594,C,0.0,K,0.0,K,10.952877932888919,m^3 / s,0.13715098839079537,m^3 / kg,0.0,-,6929.751449390102,J / kgK,,,0.7553,0.0129,0.0,0.0,0.2314,0.0004,
fuel1_air_source_compressor,79.86,kg / s,0.978,bar,288.5373019335415,kJ / kg,15.0,C,0.0,K,0.0,K,67.52999175881835,m^3 / s,0.8456047052193633,m^3 / kg,0.0,-,6835.07994512374,J / kgK,,,0.7553,0.0129,0.0,0.0,0.2314,0.0004,
fuel1_compressor_combustion,1.401,kg / s,15.0,bar,1125.655835401903,kJ / kg,119.8028428944395,C,234.42527073330652,K,-234.42527073330652,K,0.18880405125157343,m^3 / s,0.13476377676771836,m^3 / kg,-1.0,-,5910.869320466144,J / kgK,state not recognised,,0.0,0.0,1.0,0.0,0.0,0.0,
fuel1_splitter_compressor,1.401,kg / s,4.5,bar,884.1173039956234,kJ / kg,15.00000000021953,C,154.67640559240792,K,-154.67640559240792,K,0.4608573418128381,m^3 / s,0.32894885211480235,m^3 / kg,-1.0,-,5816.949988706281,J / kgK,state not recognised,,0.0,0.0,1.0,0.0,0.0,0.0,
fuel2_splitter_valve,0.10589229050256391,kg / s,4.5,bar,884.1173039956234,kJ / kg,15.00000000021953,C,154.67640559240792,K,-154.67640559240792,K,0.03483314740862559,m^3 / s,0.32894885211480235,m^3 / kg,-1.0,-,5816.949988706281,J / kgK,state not recognised,,0.0,0.0,1.0,0.0,0.0,0.0,
fuel2_valve_combustion,0.10589229050256391,kg / s,0.978,bar,884.1173039956234,kJ / kg,13.340135675751867,C,175.25110543602494,K,-175.25110543602494,K,0.16045115057544124,m^3 / s,1.515229766151449,m^3 / kg,-1.0,-,6604.393448031798,J / kgK,state not recognised,,0.0,0.0,1.0,0.0,0.0,0.0,
fuel_source_splitter,1.506892290502564,kg / s,4.5,bar,884.1173039956234,kJ / kg,15.00000000021953,C,154.67640559240792,K,-154.67640559240792,K,0.4956904892214637,m^3 / s,0.32894885211480235,m^3 / kg,-1.0,-,5816.949988706281,J / kgK,state not recognised,,0.0,0.0,1.0,0.0,0.0,0.0,
gas_deliver,81.36689229050253,kg / s,0.975,bar,1035.067054521129,kJ / kg,600.0,C,0.0,K,0.0,K,212.33843001045173,m^3 / s,2.6096416371949442,m^3 / kg,0.0,-,7943.1910297708055,J / kgK,,,0.7413126276127612,0.01266110538356232,0.0,0.041591751163332386,0.15323925670343103,0.05119518525868725,
gas_out,81.36689229050253,kg / s,0.975,bar,566.1044262088683,kJ / kg,178.77689064163235,C,0.0,K,0.0,K,109.89928515477199,m^3 / s,1.350663421707208,m^3 / kg,0.0,-,7213.8508729319055,J / kgK,,,0.7413126276127612,0.01266110538356232,0.0,0.041591751163332386,0.15323925670343103,0.05119518525868725,
gas_re_combustion_in,81.261,kg / s,0.975,bar,963.4744096105259,kJ / kg,545.9956507679192,C,0.0,K,0.0,K,198.74582720155217,m^3 / s,2.445771368818402,m^3 / kg,0.0,-,7874.697836580465,J / kgK,,,0.7422780669693949,0.01267759441798649,0.0,0.03872099657321123,0.1586340839542664,0.04768918930615358,
gas_turbine_in,81.261,kg / s,13.995000000000003,bar,1635.600368171332,kJ / kg,1100.643830734542,C,0.0,K,0.0,K,23.26743376757433,m^3 / s,0.2863296509712449,m^3 / kg,0.0,-,7722.754544744487,J / kgK,,,0.7422780669693949,0.01267759441798649,0.0,0.03872099657321123,0.1586340839542664,0.04768918930615358,
gas_turbine_out,81.261,kg / s,1.0,bar,963.4744096105259,kJ / kg,545.9951238038823,C,0.0,K,0.0,K,193.7781388154999,m^3 / s,2.38463886508288,m^3 / kg,0.0,-,7867.327491866717,J / kgK,,,0.7422780669693949,0.01267759441798649,0.0,0.03872099657321123,0.1586340839542664,0.04768918930615358,
main_steam1_deliver,11.56467293372042,kg / s,48.0,bar,3656.8665989915453,kJ / kg,594.9987056625356,C,333.5971815183326,K,-333.5971815183326,K,0.9430591235250186,m^3 / s,0.08154654514917019,m^3 / kg,-1.0,-,7267.45886986356,J / kgK,state not recognised,,,,,,,,1.0
main_steam1_recycle,11.78967293372042,kg / s,48.4,bar,474.03824880998906,kJ / kg,112.18100588291605,C,-149.73474010117712,K,149.73474010117712,K,0.012390057311715722,m^3 / s,0.0010509245999758062,m^3 / kg,0.0,-,1438.8287471594408,J / kgK,l,,,,,,,,1.0
main_steam1_splitter,11.78967293372042,kg / s,1.5088313427952622,bar,467.8731509963815,kJ / kg,111.52563475390161,C,-2.3025504560791887e-06,K,2.3025504560791887e-06,K,0.012413058260407958,m^3 / s,0.0010528755403302625,m^3 / kg,0.0,-,1435.6271414934279,J / kgK,l,,,,,,,,1.0
main_steam2_recycle,0.5212890357942243,kg / s,9.2,bar,468.886165261407,kJ / kg,111.63349497570681,C,-64.65313245516796,K,64.65313245516796,K,0.0005486845583410281,m^3 / s,0.0010525534217405218,m^3 / kg,0.0,-,1436.1557046224118,J / kgK,l,,,,,,,,1.0
main_steam2_splitter,0.5212890357942243,kg / s,1.5088313427952622,bar,467.8731509963815,kJ / kg,111.52563475390161,C,-2.3025504560791887e-06,K,2.3025504560791887e-06,K,0.0005488524752300854,m^3 / s,0.0010528755403302625,m^3 / kg,0.0,-,1435.6271414934279,J / kgK,l,,,,,,,,1.0
main_steam_turbine1,11.56467293372042,kg / s,47.5,bar,3656.8665989915453,kJ / kg,594.8220909088577,C,334.0679698786364,K,-334.0679698786364,K,0.9530110009615987,m^3 / s,0.08240708634161172,m^3 / kg,-1.0,-,7272.180622367457,J / kgK,state not recognised,,,,,,,,1.0
recycle_merge_extract_tb4,11.086964417163768,kg / s,2.0,bar,205.0841795357881,kJ / kg,48.942970258879654,C,-71.26712106909218,K,71.26712106909218,K,0.011215351840243677,m^3 / s,0.0010115800338351543,m^3 / kg,0.0,-,690.0232459975674,J / kgK,l,,,,,,,,1.0
recycle_pump,10.804964417163768,kg / s,0.12,bar,206.91058325515644,kJ / kg,49.4186551703919,C,0.0,K,0.0,K,0.010933345031988874,m^3 / s,0.0010118816323560651,m^3 / kg,0.0,-,696.2795805187926,J / kgK,tp,,,,,,,,1.0
turbine1_steam_out,11.56467293372042,kg / s,9.0,bar,3175.832358380157,kJ / kg,357.3994185198228,C,182.0489685109971,K,-182.0489685109971,K,3.682605375020601,m^3 / s,0.3184357565602062,m^3 / kg,1.0,-,7378.855762640968,J / kgK,g,,,,,,,,1.0
turbine2_steam_in,12.084961969514644,kg / s,9.0,bar,3158.4908170911663,kJ / kg,349.1997362669473,C,173.8492862581216,K,-173.8492862581216,K,3.7951580846630013,m^3 / s,0.3140397209554001,m^3 / kg,1.0,-,7351.173108534713,J / kgK,g,,,,,,,,1.0
turbine2_steam_out,12.084961969514644,kg / s,4.0,bar,2974.4090332684546,kJ / kg,254.83625742094716,C,111.22789816583958,K,-111.22789816583958,K,7.2631667140951945,m^3 / s,0.6010086529371923,m^3 / kg,1.0,-,7399.275724200936,J / kgK,g,,,,,,,,1.0
turbine3_steam_in,11.316518305553181,kg / s,4.0,bar,2974.4090332684546,kJ / kg,254.83625742094716,C,111.22789816583958,K,-111.22789816583958,K,6.801325422759596,m^3 / s,0.6010086529371923,m^3 / kg,1.0,-,7399.275724200936,J / kgK,g,,,,,,,,1.0
turbine3_steam_out,11.316518305553181,kg / s,0.7,bar,2671.778687501572,kJ / kg,96.01491994129083,C,6.083186276524884,K,-6.083186276524884,K,27.237539448207368,m^3 / s,2.406883346341737,m^3 / kg,1.0,-,7512.75650911109,J / kgK,g,,,,,,,,1.0
turbine4_steam_in,11.124788681747654,kg / s,0.7,bar,2671.778687501572,kJ / kg,96.01491994129083,C,6.083186276524884,K,-6.083186276524884,K,26.776068609669476,m^3 / s,2.406883346341737,m^3 / kg,1.0,-,7512.75650911109,J / kgK,g,,,,,,,,1.0
turbine4_steam_out,11.124788681747654,kg / s,0.5,bar,2623.375895067761,kJ / kg,81.31689313303252,C,0.0,K,0.0,K,35.70316407548501,m^3 / s,3.2093341363025516,m^3 / kg,0.9905238947862361,-,7531.38916296827,J / kgK,tp,,,,,,,,1.0
turbine5_steam_in,10.804964417163768,kg / s,0.5,bar,2623.375895067761,kJ / kg,81.31689313303252,C,0.0,K,0.0,K,34.67674114553809,m^3 / s,3.2093341363025516,m^3 / kg,0.9905238947862361,-,7531.38916296827,J / kgK,tp,,,,,,,,1.0
turbine5_steam_out,10.804964417163768,kg / s,0.12,bar,2432.9390578235248,kJ / kg,49.4186551703919,C,0.0,K,0.0,K,124.71725793688582,m^3 / s,11.54258849189466,m^3 / kg,0.9339911744168742,-,7597.224352702294,J / kgK,tp,,,,,,,,1.0
